sno,district,mandal,village,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR
126,MAHABUBNAGAR,CC Kunta,Kurumurthy,80,106.4767662,100,0.68,7.0864,18,71.00984334,3.69,48,19.448,199.9671053,2.183290066
127,MAHABUBNAGAR,CC Kunta,Thirmalapur,40,143.3229446,40,0.76,1.99305,14,53.76548932,3.3,40,9.724,139.9835526,1.975773977
128,MAHABUBNAGAR,Devarkadara,Devarakadra,0,544.4160821,250,2.24,14.6157,50,274.7317129,2.4,48,63.206,379.8930921,6.128444532
129,MAHABUBNAGAR,Hanwada,Hanwada,0,196.3152925,270,0.58,188.2325,35,99.51565681,3.55,80,87.516,559.8519737,1.82863476
130,MAHABUBNAGAR,Jadcherla,Jadcherla,0,185.2007054,350,1.38,133.7558,38,64.66671084,1.9,120,97.24,699.8355263,1.062808314
131,MAHABUBNAGAR,Koilkonda,Dammaipally,0,232.7465643,280,0.65,93.67335,25,119.9665707,2.47,104,53.482,479.9095395,2.380963386
132,MAHABUBNAGAR,Mahabubnagar (R) ,Kodur,20,264.8113081,190,1.25,39.861,14,156.5653097,8.8,48,34.034,259.9424342,4.222105826
133,MAHABUBNAGAR,Mahabubnagar(U),Yenugonda,0,312.0216578,350,1.26,108.0676,25,174.6639509,29.5,64,87.516,519.8519737,3.330700599
134,MAHABUBNAGAR,Midjil,Kothapalli,0,366.622134,350,1.22,107.6247,29,263.9425723,2.5,56,68.068,419.8848684,5.600367115
135,MAHABUBNAGAR,Nawabpet,Nawabpet,0,186.1912569,330,0.69,188.2325,21,119.4802649,1.78,56,106.964,579.8190789,2.157357356
136,MANCHERIAL,Bellampally,Bellampally I,0,220,70,0.29,21.33972727,40,52,4,32,43.758,259.9259868,1.402331395
137,MANCHERIAL,Chennur,Chennur I,0,220,80,0.74,12.28040909,38,84,1,40,24.31,199.9588816,2.582742449
138,MANCHERIAL,Jaipur,Jaipur,50,320,540,0.92,3.019772727,327,576,4,16,43.758,219.9259868,16.88715045
139,MANCHERIAL,Mandamarri,Mandamarri,0,170,170,0.26,18.52127273,205,174,1,48,34.034,259.9424342,4.692268135
140,MANCHERIAL,Tandur,Tandur ,0,170,60,0.4,43.48472727,42,40,6,48,29.172,239.9506579,1.122719286
141,MANCHERIAL,Vemanpally,Neelwai,0,220,60,0.39,2.818454545,32,36,2,48,34.034,259.9424342,0.970814097
142,MEDAK,Chegunta,Chegunta,0,337.0102441,30,2.29,14.1728,6,92.85292624,2.5,40,24.31,199.9588816,2.854942787
143,MEDAK,Havelighanpur,Mutayapally,0,258.2009705,90,0.9,20.59485,14,65.52229149,1.81,64,29.172,279.9506579,1.702630839
144,MEDAK,Kulcharam,Rangampet,0,356.7968476,110,1.02,17.49455,13,95.48600542,2.31,56,48.62,339.9177632,2.251774824
145,MEDAK,Medak,Medak,0,188.1867722,130,0.88,19.9305,10,56.94063963,1.8,48,38.896,279.9342105,1.479675616
146,MEDAK,Narasapur,Narasapur,0,218.9210881,280,0.93,101.867,21,105.2190557,2.85,72,77.792,499.8684211,2.046155867
147,MEDAK,Narasapur,Reddypally,0,309.1461123,400,1.21,143.9425,34,201.693798,5.5,96,87.516,599.8519737,3.580491623
148,MEDAK,Papannapet,Papannapet,0,438.516296,130,1.16,26.574,24,100.9264493,1.93,64,72.93,459.8766447,2.046239583
149,MEDAK,Regode,T.lingampally,0,147.0444787,170,0.98,29.89575,19,74.57495511,13.5,72,19.448,259.9671053,2.01097173
150,MEDAK,Shankarampet ,Gavvalapalli,0,166.4274112,150,1.73,20.15195,16,72.73548026,0.85,48,34.034,259.9424342,1.961461933
